id,case_number,date,iucr,primary_type,fbi_code,fbi_description,address
11260656,JB191511,2018-03-19T15:21:00Z,0486,BATTERY,08B,Simple Battery (index),"016XX W 81ST ST, CHICAGO IL"
12259723,JE101480,2021-01-02T16:39:00Z,1710,OFFENSE INVOLVING CHILDREN,20,Offenses Against Family,"078XX S ESSEX AVE, CHICAGO IL"
10985443,JA311308,2017-06-17T09:00:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"028XX W 23RD ST, CHICAGO IL"
12003021,JD178567,2020-03-08T15:30:00Z,0820,THEFT,06,Larceny (index),"058XX N KIRBY AVE, CHICAGO IL"
10956938,JA277871,2017-05-22T23:42:00Z,0860,THEFT,06,Larceny (index),"033XX N WESTERN AVE, CHICAGO IL"
12004381,JD178811,2020-03-09T00:47:00Z,0497,BATTERY,04B,Aggravated Battery (index),"0000X W RANDOLPH ST, CHICAGO IL"
12685159,JF225252,2022-04-30T15:04:00Z,1812,NARCOTICS,18,Drug Abuse,"002XX N LECLAIRE AVE, CHICAGO IL"
12467769,JE355796,2021-08-30T23:15:00Z,0560,ASSAULT,08A,Simple Assult (index),"008XX S PLYMOUTH CT, CHICAGO IL"
12375819,JE242490,2021-01-01T18:00:00Z,2825,OTHER OFFENSE,26,Misc Non-Index Offense,"077XX S CLYDE AVE, CHICAGO IL"
12595605,JF116799,2022-01-18T17:45:00Z,1154,DECEPTIVE PRACTICE,11,Fraud,"009XX W BELMONT AVE, CHICAGO IL"
12652903,JF186407,2022-03-25T20:40:00Z,0560,ASSAULT,08A,Simple Assult (index),"085XX S COMMERCIAL AVE, CHICAGO IL"
10970022,JA293781,2017-06-05T16:30:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"011XX W CERMAK RD, CHICAGO IL"
11045173,JA380452,2017-08-05T20:20:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"077XX S WABASH AVE, CHICAGO IL"
11330970,JB284700,2018-05-30T11:00:00Z,0520,ASSAULT,04A,Aggravated Assault (index),"006XX N MICHIGAN AVE, CHICAGO IL"
12925482,JF512713,2022-12-09T19:57:00Z,1752,OFFENSE INVOLVING CHILDREN,17,Criminal Sexual Abuse,"019XX W 23RD ST, CHICAGO IL"
12263075,JE104677,2021-01-02T15:00:00Z,0820,THEFT,06,Larceny (index),"015XX W GRAND AVE, CHICAGO IL"
10804021,JA103320,2017-01-04T00:30:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"060XX S HONORE ST, SKOIE IL"
12453148,JE337893,2021-08-15T03:30:00Z,0820,THEFT,06,Larceny (index),"003XX N LAFLIN ST, CHICAGO IL"
12220555,JD430638,2020-11-14T01:14:00Z,031A,ROBBERY,03,Robbery (index),"028XX W BELDEN AVE, CHICAGO IL"
12577921,JE489803,2021-12-27T05:40:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"069XX S JEFFERY BLVD, CHICAGO IL"
12482214,JE372492,2021-09-14T00:30:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"030XX N BROADWAY, CHICAGO IL"
12027318,JD205851,2020-04-10T03:30:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"0000X N KILBOURN AVE, CHICAGO IL"
12619671,JF146315,2022-02-14T22:30:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"008XX W 76TH ST, CHICAGO IL"
11589185,JC144350,2019-02-08T07:22:00Z,0820,THEFT,06,Larceny (index),"002XX S STATE ST, CHICAGO IL"
12893657,JF475606,2022-11-15T03:00:00Z,0810,THEFT,06,Larceny (index),"052XX N MOODY AVE, CHICAGO IL"
12686193,JF226516,2022-05-01T18:10:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"018XX S PEORIA ST, CHICAGO IL"
11846846,JC455692,2019-10-01T17:11:00Z,0560,ASSAULT,08A,Simple Assult (index),"091XX S PERRY AVE, CHICAGO IL"
11181121,JA553979,2017-12-17T04:00:00Z,0810,THEFT,06,Larceny (index),"006XX W 69TH ST, CHICAGO IL"
10847575,JA151362,2017-02-13T00:54:00Z,1365,CRIMINAL TRESPASS,26,Misc Non-Index Offense,"083XX S SEELEY AVE, CHICAGO IL"
12175157,JD378186,2020-09-24T15:24:00Z,051A,ASSAULT,04A,Aggravated Assault (index),"080XX S INGLESIDE AVE, CICERO IL"
11324232,JB275718,2018-05-23T23:55:00Z,2024,NARCOTICS,18,Drug Abuse,"014XX S ASHLAND AVE, CHICAGO IL"
11634067,JC198632,2019-03-25T14:08:00Z,0860,THEFT,06,Larceny (index),"091XX S COMMERCIAL AVE, SKOIE IL"
12032992,JD211657,2020-04-18T18:24:00Z,502P,OTHER OFFENSE,26,Misc Non-Index Offense,"002XX S LOTUS AVE, CHICAGO IL"
11729811,JC314971,2019-06-21T02:01:00Z,0486,BATTERY,08B,Simple Battery (index),"078XX S ABERDEEN ST, CHICAGO IL"
12027492,JD206114,2020-04-10T04:00:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"038XX N ASHLAND AVE, CHICAGO IL"
11117994,JA470439,2017-10-14T03:17:00Z,143A,WEAPONS VIOLATION,15,Weapons Violation,"086XX S BISHOP ST, CHICAGO IL"
12651444,JF184780,2022-03-24T03:30:00Z,0820,THEFT,06,Larceny (index),"043XX S LANGLEY AVE, CHICAGO IL"
10866140,JA172412,2017-03-02T03:45:00Z,0810,THEFT,06,Larceny (index),"008XX N CENTRAL PARK AVE, CHICAGO IL"
12319921,JE174718,2021-03-21T01:55:00Z,1154,DECEPTIVE PRACTICE,11,Fraud,"013XX S KEDZIE AVE, CHICAGO IL"
11933005,JC561004,2019-12-23T18:17:00Z,1110,DECEPTIVE PRACTICE,11,Fraud,"035XX N BROADWAY, CHICAGO IL"
12793375,JF355977,2022-08-14T05:00:00Z,0560,ASSAULT,08A,Simple Assult (index),"056XX S MARSHFIELD AVE, CHICAGO IL"
11720795,JC304011,2019-06-12T21:00:00Z,0620,BURGLARY,05,Burglary (index),"015XX N LOREL AVE, CHICAGO IL"
12458475,JE344267,2021-08-21T02:31:00Z,0460,BATTERY,08B,Simple Battery (index),"033XX W WASHINGTON BLVD, CHICAGO IL"
10935562,JA251702,2017-05-05T18:16:00Z,141A,WEAPONS VIOLATION,15,Weapons Violation,"0000X W CHECKPOINT 7 ST, CHICAGO IL"
11203870,JB115887,2018-01-14T18:05:00Z,033A,ROBBERY,03,Robbery (index),"019XX W 100TH ST, CHICAGO IL"
11351430,JB307946,2018-04-10T14:00:00Z,2820,OTHER OFFENSE,26,Misc Non-Index Offense,"025XX S AVERS AVE, CHICAGO IL"
12661072,JF196405,2022-04-04T07:49:00Z,0860,THEFT,06,Larceny (index),"027XX N CLARK ST, CHICAGO IL"
12502638,JE398209,2021-10-05T00:00:00Z,031A,ROBBERY,03,Robbery (index),"006XX S MICHIGAN AVE, CHICAGO IL"
11850104,JC459572,2019-10-02T20:51:00Z,2820,OTHER OFFENSE,08A,Simple Assult (index),"062XX S SANGAMON ST, CHICAGO IL"
11973563,JD142227,2020-02-02T02:45:00Z,0820,THEFT,06,Larceny (index),"049XX W ADAMS ST, CHICAGO IL"
11205013,JB117427,2018-01-16T03:40:00Z,502P,OTHER OFFENSE,26,Misc Non-Index Offense,"007XX S KOSTNER AVE, CICERO IL"
11890341,JC508863,2019-11-12T17:00:00Z,0890,THEFT,06,Larceny (index),"050XX W WILSON AVE, CHICAGO IL"
12654501,JF188470,2022-03-24T00:00:00Z,2825,OTHER OFFENSE,26,Misc Non-Index Offense,"051XX S FAIRFIELD AVE, CHICAGO IL"
26554,JF108955,2022-01-11T01:15:00Z,0110,HOMICIDE,01A,Homicide (index),"016XX W 78TH ST, CHICAGO IL"
10862755,JA169106,2017-02-27T02:00:00Z,2826,OTHER OFFENSE,26,Misc Non-Index Offense,"045XX S WOOD ST, CHICAGO IL"
12373662,JE240155,2021-05-23T05:00:00Z,0460,BATTERY,08B,Simple Battery (index),"010XX W SUNNYSIDE AVE, CHICAGO IL"
12903910,JF484930,2022-11-23T16:26:00Z,051A,ASSAULT,04A,Aggravated Assault (index),"071XX S EAST END AVE, CHICAGO IL"
10864801,JA171091,2017-02-28T22:00:00Z,0610,BURGLARY,05,Burglary (index),"087XX S LOWE AVE, CHICAGO IL"
10846962,JA150553,2017-02-12T06:05:00Z,0460,BATTERY,08B,Simple Battery (index),"047XX N KENNETH AVE, CHICAGO IL"
12822604,JF390449,2022-08-20T20:00:00Z,0820,THEFT,06,Larceny (index),"068XX S PAXTON AVE, CHICAGO IL"
11009111,JA338140,2017-07-07T16:35:00Z,2027,NARCOTICS,18,Drug Abuse,"080XX S DREXEL AVE, CHICAGO IL"
12845520,JF418111,2022-10-01T20:45:00Z,0860,THEFT,06,Larceny (index),"017XX N DAMEN AVE, CHICAGO IL"
12913835,JF499836,2022-12-06T01:00:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"044XX S LAKE PARK AVE, SKOIE IL"
11033278,JA366140,2017-07-27T23:37:00Z,0860,THEFT,06,Larceny (index),"083XX S STEWART AVE, CHICAGO IL"
12257739,JD472347,2020-12-16T18:00:00Z,1154,DECEPTIVE PRACTICE,11,Fraud,"036XX N SPAULDING AVE, CHICAGO IL"
12655729,JF189831,2022-03-29T04:30:00Z,0486,BATTERY,08B,Simple Battery (index),"008XX E 89TH PL, CHICAGO IL"
12311479,JE164217,2021-03-08T07:54:00Z,0820,THEFT,06,Larceny (index),"036XX N ODELL AVE, CHICAGO IL"
12641614,JF173118,2022-03-14T08:15:00Z,0810,THEFT,06,Larceny (index),"055XX S NEWLAND AVE, CHICAGO IL"
11260536,JB191328,2018-03-19T08:18:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"011XX N CENTRAL AVE, CICERO IL"
12735867,JF286989,2022-06-20T07:00:00Z,0486,BATTERY,08B,Simple Battery (index),"011XX E 73RD ST, CHICAGO IL"
11474286,JB472499,2018-10-11T20:00:00Z,0620,BURGLARY,05,Burglary (index),"020XX W WAVELAND AVE, CHICAGO IL"
11099612,JA446831,2017-09-26T03:21:00Z,2027,NARCOTICS,18,Drug Abuse,"001XX W MAPLE ST, CHICAGO IL"
11021294,JA352249,2017-07-17T22:00:00Z,0820,THEFT,06,Larceny (index),"051XX S ELIZABETH ST, CHICAGO IL"
11134067,JA491663,2017-09-24T20:00:00Z,0810,THEFT,06,Larceny (index),"022XX W ARGYLE ST, CHICAGO IL"
11495290,JB500056,2018-11-02T09:15:00Z,0865,THEFT,06,Larceny (index),"065XX S BELL AVE, CHICAGO IL"
11604616,JC162790,2019-02-23T03:00:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"003XX W 107TH ST, CHICAGO IL"
11982906,JD153998,2020-02-16T20:00:00Z,0820,THEFT,06,Larceny (index),"067XX S CLYDE AVE, CHICAGO IL"
11547287,JB567975,2018-12-23T16:05:00Z,0560,ASSAULT,08A,Simple Assult (index),"106XX S MICHIGAN AVE, CHICAGO IL"
12014186,JD191415,2020-03-02T18:00:00Z,0560,ASSAULT,08A,Simple Assult (index),"002XX E 116TH ST, CHICAGO IL"
12664645,JF200542,2022-04-02T20:30:00Z,2826,OTHER OFFENSE,26,Misc Non-Index Offense,"035XX W FRANKLIN BLVD, CHICAGO IL"
12117856,JD311466,2020-07-27T11:00:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"033XX N TROY ST, CHICAGO IL"
11080383,JA422504,2017-09-07T21:40:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"086XX S COTTAGE GROVE AVE, CHICAGO IL"
11382720,JB351828,2018-07-01T13:00:00Z,1150,DECEPTIVE PRACTICE,11,Fraud,"012XX S SAWYER AVE, CHICAGO IL"
11446625,JB435873,2018-09-15T03:10:00Z,0530,ASSAULT,04A,Aggravated Assault (index),"001XX S MORGAN ST, CHICAGO IL"
11471047,JB467978,2018-10-08T17:30:00Z,0610,BURGLARY,05,Burglary (index),"031XX W HURON ST, CHICAGO IL"
12082138,JD268842,2019-11-14T00:00:00Z,0890,THEFT,06,Larceny (index),"072XX S CONSTANCE AVE, CHICAGO IL"
12807237,JF372248,2022-08-27T09:00:00Z,0460,BATTERY,08B,Simple Battery (index),"011XX S CANAL ST, CHICAGO IL"
12926157,JF514606,2022-12-18T07:30:00Z,0320,ROBBERY,03,Robbery (index),"030XX N KILPATRICK AVE, CHICAGO IL"
12183053,JD387471,2020-10-03T18:45:00Z,0810,THEFT,06,Larceny (index),"004XX N CAMPBELL AVE, CHICAGO IL"
12684132,JF223098,2022-04-28T18:15:00Z,0560,ASSAULT,08A,Simple Assult (index),"001XX S KEELER AVE, CHICAGO IL"
11845759,JC454429,2019-09-30T19:34:00Z,0530,ASSAULT,04A,Aggravated Assault (index),"013XX W 76TH ST, CHICAGO IL"
11550415,JB571738,2018-11-15T18:00:00Z,1150,DECEPTIVE PRACTICE,11,Fraud,"080XX S RHODES AVE, CHICAGO IL"
11977817,JD147450,2020-02-11T05:55:00Z,0560,ASSAULT,08A,Simple Assult (index),"033XX W HARRISON ST, CHICAGO IL"
12301048,JE151874,2021-02-25T18:05:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"092XX S UNIVERSITY AVE, CHICAGO IL"
12068551,JD253066,2020-06-04T05:53:00Z,0486,BATTERY,08B,Simple Battery (index),"075XX S EBERHART AVE, CHICAGO IL"
12549963,JE454189,2021-11-23T06:00:00Z,0486,BATTERY,08B,Simple Battery (index),"019XX W FARRAGUT AVE, CHICAGO IL"
12816368,JF383227,2022-09-04T23:55:00Z,0460,BATTERY,08B,Simple Battery (index),"0000X W HUBBARD ST, CHICAGO IL"
12663378,JF199016,2022-04-06T15:05:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"053XX W LEXINGTON ST, CICERO IL"
12354414,JE216668,2021-05-02T05:30:00Z,0810,THEFT,06,Larceny (index),"032XX N LAKE SHORE DR, CHICAGO IL"
12204373,JD411984,2020-10-26T00:45:00Z,0320,ROBBERY,03,Robbery (index),"001XX W CERMAK RD, CHICAGO IL"
10972659,JA296580,2017-03-21T10:00:00Z,0810,THEFT,06,Larceny (index),"042XX W CRYSTAL ST, CICERO IL"
11132066,JA488831,2017-10-28T03:15:00Z,0580,STALKING,08A,Simple Assult (index),"063XX S HALSTED ST, CHICAGO IL"
11488860,JB491724,2018-10-26T22:15:00Z,1305,CRIMINAL DAMAGE,14,Vandalism,"090XX S CHAPPEL AVE, CHICAGO IL"
11129807,JA486109,2017-10-26T01:30:00Z,0820,THEFT,06,Larceny (index),"0000X W RANDOLPH ST, CHICAGO IL"
12284713,JE130922,2021-02-03T11:45:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"057XX S LA SALLE ST, CHICAGO IL"
11611247,JC171200,2019-03-02T18:31:00Z,0860,THEFT,06,Larceny (index),"094XX S ASHLAND AVE, CHICAGO IL"
12806996,JF371939,2022-08-27T06:46:00Z,1020,ARSON,09,Arson (index),"013XX W 56TH ST, CHICAGO IL"
12709427,JF254948,2022-05-25T02:10:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"023XX W 25TH ST, CHICAGO IL"
11275174,JB210367,2018-04-03T13:00:00Z,0610,BURGLARY,05,Burglary (index),"069XX N ASHLAND BLVD, CHICAGO IL"
11101436,JA449185,2017-09-27T21:10:00Z,0820,THEFT,06,Larceny (index),"0000X E 21ST ST, CHICAGO IL"
11600040,JC157656,2019-02-19T09:07:00Z,0486,BATTERY,08B,Simple Battery (index),"044XX W CARROLL AVE, CHICAGO IL"
11332153,JB286060,2018-05-31T03:45:00Z,031A,ROBBERY,03,Robbery (index),"089XX S DORCHESTER AVE, CHICAGO IL"
12049836,JD231356,2020-05-13T16:00:00Z,0890,THEFT,06,Larceny (index),"072XX S OGLESBY AVE, CICERO IL"
10826896,JA128234,2017-01-24T19:30:00Z,0810,THEFT,06,Larceny (index),"002XX W 47TH ST, CHICAGO IL"
12919968,JF506476,2022-12-11T17:22:00Z,0460,BATTERY,08B,Simple Battery (index),"090XX S DAUPHIN AVE, CHICAGO IL"
11975618,JD144789,2019-09-08T15:00:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"001XX S JEFFERSON ST, CHICAGO IL"
11464943,JB460063,2018-07-01T14:00:00Z,0890,THEFT,06,Larceny (index),"039XX N JANSSEN AVE, CHICAGO IL"
12049415,JD230827,2020-05-13T01:02:00Z,143C,WEAPONS VIOLATION,15,Weapons Violation,"042XX N SACRAMENTO AVE, CHICAGO IL"
11354492,JB315306,2018-06-20T20:19:00Z,1020,ARSON,09,Arson (index),"012XX W 13TH ST, ELMHURST IL"
12672026,JF209504,2022-04-16T02:00:00Z,0820,THEFT,06,Larceny (index),"107XX S GREEN BAY AVE, CHICAGO IL"
11889016,JC507117,2019-11-12T05:20:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"0000X S CENTRAL AVE, CHICAGO IL"
11553894,JC101521,2019-01-02T15:56:00Z,5000,OTHER OFFENSE,26,Misc Non-Index Offense,"021XX W ROOSEVELT RD, ELMHURST IL"
12115389,JD308501,2020-07-23T20:00:00Z,0820,THEFT,06,Larceny (index),"066XX W BELDEN AVE, CHICAGO IL"
11620361,JC182287,2019-03-12T02:30:00Z,0820,THEFT,06,Larceny (index),"025XX W 65TH ST, CHICAGO IL"
12808135,JF373513,2022-08-26T20:00:00Z,0820,THEFT,06,Larceny (index),"060XX S KEATING AVE, CHICAGO IL"
11794954,JC392290,2019-08-14T20:04:00Z,0820,THEFT,06,Larceny (index),"103XX S MICHIGAN AVE, CHICAGO IL"
10870813,JA178503,2017-01-07T09:00:00Z,2825,OTHER OFFENSE,26,Misc Non-Index Offense,"006XX W GRACE ST, CHICAGO IL"
13015941,JG192310,2022-09-28T17:00:00Z,1154,DECEPTIVE PRACTICE,11,Fraud,"045XX N MAGNOLIA AVE, CHICAGO IL"
11455924,JB448261,2018-09-24T03:00:00Z,5002,OTHER OFFENSE,26,Misc Non-Index Offense,"016XX N LA SALLE DR, CHICAGO IL"
11489282,JB492162,2018-10-27T16:15:00Z,0495,BATTERY,04B,Aggravated Battery (index),"028XX S EMERALD AVE, CHICAGO IL"
11769251,JC362385,2019-07-24T15:40:00Z,2024,NARCOTICS,18,Drug Abuse,"037XX W CHICAGO AVE, CHICAGO IL"
11981429,JD152133,2020-02-15T01:39:00Z,1150,DECEPTIVE PRACTICE,11,Fraud,"011XX S CANAL ST, CHICAGO IL"
11116011,JA468009,2017-10-12T10:55:00Z,1210,DECEPTIVE PRACTICE,11,Fraud,"020XX N PULASKI RD, CHICAGO IL"
11298521,JB241655,2018-04-28T17:15:00Z,0820,THEFT,06,Larceny (index),"0000X E WACKER DR, CHICAGO IL"
23681,JA493149,2017-11-04T12:33:00Z,0110,HOMICIDE,01A,Homicide (index),"113XX S ABERDEEN ST, CHICAGO IL"
12487483,JE379719,2021-09-17T23:00:00Z,0486,BATTERY,08B,Simple Battery (index),"038XX N CENTRAL AVE, CHICAGO IL"
11596835,JC153824,2019-02-15T21:50:00Z,0486,BATTERY,08B,Simple Battery (index),"044XX S DR MARTIN LUTHER KING JR DR, CHICAGO IL"
12025888,JD204359,2020-04-08T02:00:00Z,0620,BURGLARY,05,Burglary (index),"091XX S ABERDEEN ST, CHICAGO IL"
11583615,JC137758,2019-02-02T20:55:00Z,143A,WEAPONS VIOLATION,15,Weapons Violation,"062XX S ARTESIAN AVE, CHICAGO IL"
11586715,JC141540,2019-01-27T21:20:00Z,1206,DECEPTIVE PRACTICE,11,Fraud,"041XX W FULLERTON AVE, CHICAGO IL"
11500797,JB507439,2018-11-07T22:00:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"036XX W 80TH ST, CHICAGO IL"
12122251,JD316404,2020-07-31T00:30:00Z,0820,THEFT,06,Larceny (index),"008XX N KEELER AVE, CHICAGO IL"
12394074,JE265290,2021-06-14T14:15:00Z,0560,ASSAULT,08A,Simple Assult (index),"051XX N KIMBALL AVE, CHICAGO IL"
11934120,JC562351,2019-12-26T20:57:00Z,0820,THEFT,06,Larceny (index),"009XX W FOSTER AVE, CHICAGO IL"
12221736,JD431185,2020-11-14T11:40:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"051XX S LAMON AVE, CHICAGO IL"
11859055,JC470606,2019-10-13T02:43:00Z,141A,WEAPONS VIOLATION,15,Weapons Violation,"010XX W 83RD ST, CHICAGO IL"
11959215,JD124936,2020-01-22T00:30:00Z,1150,DECEPTIVE PRACTICE,11,Fraud,"048XX N HARDING AVE, CHICAGO IL"
12555438,JE462772,2021-12-01T10:00:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"043XX S KILDARE BLVD, SKOIE IL"
12867841,JF444878,2022-10-22T00:00:00Z,0460,BATTERY,08B,Simple Battery (index),"003XX S WELLS ST, CHICAGO IL"
12777978,JF337876,2022-07-30T22:00:00Z,0870,THEFT,06,Larceny (index),"003XX E RANDOLPH ST, CHICAGO IL"
12309903,JE162523,2021-03-07T17:55:00Z,0820,THEFT,06,Larceny (index),"109XX S PARNELL AVE, CHICAGO IL"
11687312,JC263312,2019-05-15T00:59:00Z,0860,THEFT,06,Larceny (index),"031XX N CLARK ST, CHICAGO IL"
12545376,JE450424,2021-11-19T18:15:00Z,0810,THEFT,06,Larceny (index),"037XX N RECREATION DR, CHICAGO IL"
11128369,JA484214,2017-10-24T20:30:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"048XX S MARSHFIELD AVE, CHICAGO IL"
11191767,JA568765,2017-12-31T15:49:00Z,051A,ASSAULT,04A,Aggravated Assault (index),"040XX W 26TH ST, CHICAGO IL"
11074277,JA414713,2017-09-01T18:18:00Z,2022,NARCOTICS,18,Drug Abuse,"076XX S LANGLEY AVE, CHICAGO IL"
11901650,JC522954,2019-11-24T21:30:00Z,0890,THEFT,06,Larceny (index),"001XX N STATE ST, ELMHURST IL"
12234246,JD444485,2020-11-29T03:06:00Z,0620,BURGLARY,05,Burglary (index),"002XX E OHIO ST, CHICAGO IL"
12212609,JD421448,2020-11-02T02:00:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"001XX N WELLS ST, CHICAGO IL"
11461804,JB455761,2018-09-29T18:20:00Z,3710,INTERFERENCE WITH PUBLIC OFFICER,24,Disorderly Conduct,"007XX N HARDING AVE, CHICAGO IL"
11597218,JC154330,2019-02-16T08:20:00Z,0460,BATTERY,08B,Simple Battery (index),"0000X W ELM ST, CHICAGO IL"
12373748,JE240351,2021-05-23T18:20:00Z,0820,THEFT,06,Larceny (index),"002XX E RANDOLPH ST, CHICAGO IL"
12055678,JD238028,2020-05-21T02:30:00Z,4387,OTHER OFFENSE,26,Misc Non-Index Offense,"054XX S HARDING AVE, CHICAGO IL"
12161649,JD362546,2020-08-13T11:50:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"011XX N AVERS AVE, CHICAGO IL"
10854623,JA159503,2017-02-19T04:00:00Z,0820,THEFT,06,Larceny (index),"022XX S DR MARTIN LUTHER KING JR DR, CHICAGO IL"
10848783,JA152516,2017-01-28T14:00:00Z,1152,DECEPTIVE PRACTICE,11,Fraud,"043XX W 17TH ST, CHICAGO IL"
11225864,JB145260,2018-02-07T17:00:00Z,0820,THEFT,06,Larceny (index),"015XX N LOREL AVE, CHICAGO IL"
11799261,JC398521,2019-08-19T14:36:00Z,502R,OTHER OFFENSE,26,Misc Non-Index Offense,"008XX E 80TH ST, CHICAGO IL"
11452379,JB443497,2018-09-20T13:30:00Z,0486,BATTERY,08B,Simple Battery (index),"027XX S DEARBORN ST, CHICAGO IL"
11911198,JC534326,2019-12-04T18:55:00Z,0460,BATTERY,08B,Simple Battery (index),"072XX S PEORIA ST, CHICAGO IL"
11880667,JC496656,2019-11-03T08:30:00Z,1210,DECEPTIVE PRACTICE,11,Fraud,"002XX N STATE ST, CHICAGO IL"
11508159,JB517054,2018-09-09T19:00:00Z,0460,BATTERY,08B,Simple Battery (index),"033XX N BROADWAY, CHICAGO IL"
11238589,JB160471,2018-01-01T06:01:00Z,1751,OFFENSE INVOLVING CHILDREN,20,Offenses Against Family,"044XX S WOOD ST, CHICAGO IL"
11892499,JC511817,2019-10-15T17:00:00Z,0820,THEFT,06,Larceny (index),"0000X E ELM ST, CHICAGO IL"
10983248,JA308566,2017-06-14T01:00:00Z,1153,DECEPTIVE PRACTICE,11,Fraud,"009XX N CENTRAL PARK AVE, CHICAGO IL"
12502013,JE397283,2021-10-04T10:07:00Z,0498,BATTERY,04B,Aggravated Battery (index),"003XX N MAYFIELD AVE, CHICAGO IL"
11094229,JA439851,2017-09-19T02:00:00Z,0620,BURGLARY,05,Burglary (index),"047XX N WESTERN AVE, ELMHURST IL"
11872044,JC485941,2019-10-25T17:40:00Z,0460,BATTERY,08B,Simple Battery (index),"082XX S HERMITAGE AVE, CHICAGO IL"
13002625,JG176396,2022-11-27T05:07:00Z,2826,OTHER OFFENSE,26,Misc Non-Index Offense,"032XX N SHEFFIELD AVE, CHICAGO IL"
11529274,JB545165,2018-12-08T20:30:00Z,0460,BATTERY,08B,Simple Battery (index),"033XX W 47TH ST, CHICAGO IL"
12764142,JF321313,2022-07-18T04:46:00Z,0460,BATTERY,08B,Simple Battery (index),"052XX N WESTERN AVE, CHICAGO IL"
11264093,JB196178,2018-03-22T12:45:00Z,0820,THEFT,06,Larceny (index),"128XX S ESCANABA AVE, CHICAGO IL"
12842835,JF414724,2022-09-29T04:28:00Z,041A,BATTERY,04B,Aggravated Battery (index),"030XX W CHICAGO AVE, CHICAGO IL"
12264110,JE106537,2021-01-08T09:30:00Z,0820,THEFT,06,Larceny (index),"053XX S HONORE ST, SKOIE IL"
12483915,JE375267,2021-09-16T07:42:00Z,0850,THEFT,06,Larceny (index),"039XX N MOBILE AVE, CHICAGO IL"
12065525,JD249856,2020-06-01T06:00:00Z,0326,ROBBERY,03,Robbery (index),"017XX W DIVISION ST, CHICAGO IL"
11967893,JD135360,2020-01-31T18:00:00Z,0820,THEFT,06,Larceny (index),"003XX W 26TH ST, CHICAGO IL"
12109001,JD301029,2020-07-18T01:30:00Z,0486,BATTERY,08B,Simple Battery (index),"030XX N KILPATRICK AVE, CHICAGO IL"
12857633,JF432535,2022-10-13T06:00:00Z,0486,BATTERY,08B,Simple Battery (index),"040XX W MELROSE ST, CHICAGO IL"
12856219,JF430476,2022-10-11T18:15:00Z,1153,DECEPTIVE PRACTICE,11,Fraud,"027XX E 76TH ST, CHICAGO IL"
10937463,JA254413,2017-05-01T15:00:00Z,0560,ASSAULT,08A,Simple Assult (index),"015XX W DEVON AVE, CHICAGO IL"
10839847,JA142914,2017-02-06T01:28:00Z,0486,BATTERY,08B,Simple Battery (index),"044XX W FULTON ST, CHICAGO IL"
12824729,JF393112,2022-09-08T18:00:00Z,0820,THEFT,06,Larceny (index),"020XX N MILWAUKEE AVE, CHICAGO IL"
11659123,JC228864,2019-04-18T14:19:00Z,4651,OTHER OFFENSE,26,Misc Non-Index Offense,"074XX S INGLESIDE AVE, CHICAGO IL"
11563301,JC112520,2019-01-10T22:30:00Z,0610,BURGLARY,05,Burglary (index),"072XX S HARVARD AVE, CHICAGO IL"
10819918,JA120315,2017-01-17T16:00:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"010XX N ROCKWELL ST, CHICAGO IL"
11553170,JC100743,2019-01-01T06:30:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"097XX S INGLESIDE AVE, CHICAGO IL"
12980073,JG148449,2021-04-19T02:10:00Z,1153,DECEPTIVE PRACTICE,11,Fraud,"105XX S CORLISS AVE, CHICAGO IL"
12504879,JE400688,2021-10-07T00:24:00Z,143A,WEAPONS VIOLATION,15,Weapons Violation,"012XX S RACINE AVE, CHICAGO IL"
